day,month,year,category,number of vehicles,number of sites
1,3,2020,5,104,1
1,3,2020,6,315,1
1,3,2020,7,66,1
31,3,2020,1,18,1
31,3,2020,2,2877,1
31,3,2020,3,589,1
31,3,2020,4,73,1
31,3,2020,5,208,1
31,3,2020,6,362,1
31,3,2020,7,15,1
30,3,2020,1,14,1
30,3,2020,2,3165,1
30,3,2020,3,635,1
30,3,2020,4,67,1
30,3,2020,5,160,1
30,3,2020,6,385,1
30,3,2020,7,11,1
29,3,2020,1,7,1
29,3,2020,2,1526,1
29,3,2020,3,155,1
29,3,2020,4,28,1
29,3,2020,5,20,1
29,3,2020,6,50,1
29,3,2020,7,4,1
28,3,2020,1,14,1
28,3,2020,2,2437,1
28,3,2020,3,351,1
28,3,2020,4,55,1
28,3,2020,5,60,1
28,3,2020,6,147,1
28,3,2020,7,15,1
27,3,2020,1,33,1
27,3,2020,2,6277,1
27,3,2020,3,1158,1
27,3,2020,4,74,1
27,3,2020,5,289,1
27,3,2020,6,393,1
27,3,2020,7,46,1
26,3,2020,1,33,1
26,3,2020,2,5696,1
26,3,2020,3,1115,1
26,3,2020,4,79,1
26,3,2020,5,291,1
26,3,2020,6,465,1
26,3,2020,7,39,1
25,3,2020,1,28,1
25,3,2020,2,5638,1
25,3,2020,3,1223,1
25,3,2020,4,57,1
25,3,2020,5,292,1
25,3,2020,6,442,1
25,3,2020,7,35,1
24,3,2020,1,27,1
24,3,2020,2,6005,1
24,3,2020,3,1157,1
24,3,2020,4,73,1
24,3,2020,5,277,1
24,3,2020,6,413,1
24,3,2020,7,43,1
23,3,2020,1,24,1
23,3,2020,2,5880,1
23,3,2020,3,1142,1
23,3,2020,4,77,1
23,3,2020,5,247,1
23,3,2020,6,428,1
23,3,2020,7,42,1
22,3,2020,1,40,1
22,3,2020,2,4931,1
22,3,2020,3,296,1
22,3,2020,4,35,1
22,3,2020,5,19,1
22,3,2020,6,47,1
22,3,2020,7,17,1
21,3,2020,1,27,1
21,3,2020,2,4947,1
21,3,2020,3,587,1
21,3,2020,4,54,1
21,3,2020,5,104,1
21,3,2020,6,149,1
21,3,2020,7,35,1
20,3,2020,1,39,1
20,3,2020,2,6740,1
20,3,2020,3,1154,1
20,3,2020,4,78,1
20,3,2020,5,277,1
20,3,2020,6,442,1
20,3,2020,7,34,1
19,3,2020,1,45,1
19,3,2020,2,6640,1
19,3,2020,3,1209,1
19,3,2020,4,83,1
19,3,2020,5,275,1
19,3,2020,6,428,1
19,3,2020,7,38,1
18,3,2020,1,35,1
18,3,2020,2,6543,1
18,3,2020,3,1165,1
18,3,2020,4,77,1
18,3,2020,5,265,1
18,3,2020,6,441,1
18,3,2020,7,46,1
17,3,2020,1,13,1
17,3,2020,2,3902,1
17,3,2020,3,372,1
